TITLE;AUTHOR;EDITION;DESCRIPTION;LINECODE;IMAGE;TYPE;TITLEEXTENTION;ORIGIN;EDITIONINFO;VOLUMEID;VOLUMETITEL;ID;PUBYEAR;PUBFREE;Kapitel in Edition?;Zerlegung erforderlich?;Spalte1;Datum Zitat GND;Datum Zitat VL;Stellenangabe VL;Datum von;Datum bis;Datum Abweichung;Norm Werk WikiData;Norm Werk GND;MWB-Sigle;Norm Bibl DND;Norm Bibl Google Books;Norm Bibl ÖNB
Deutschenspiegel1;;"Deutschenspiegel und Augsburger Sachsenspiegel; hrsg. von Karl August Elckhardt und Alfred Hübner. 2. neubearb Ausg. Published Hannover, Hahnsche Buchhandlung, 1933. (= Monumenta Germaniae historica inde ab anno Christi quingentesimo usque ad annum millesimum et quingentesimum. Fontes iuris Germanici antiqui. nova. ser. ; t. 3).

Die digitale Textfassung beruht zum Teil auf der Version der Universität Trier (Kompetenzzentrum für elektronische Erschließungs- und Publikationsverfahren in den Geisteswissenschaften) / University of Virginia (Electronic Text Center): http://etext.lib.virginia.edu/german/mhg/";"Der ""Deutschenspiegel"" in der obigen Ausgabe zerfällt in drei Teile, ""Das Buch der Könige""(BDK), ""Erster Landrechtsteil""(DL1) und ""Zweiter Landrechtsteil""(DL2) Jeder dieser Teile wird als eigene Texteinheit geführt. ""Das Buch der Könige"" beginnt auf S. 3 der Ausgabe mit einer Vorrede und endet auf S. 71. Es besteht aus insgesamt 12 Kapiteln, die in einzelne Abschnitte/Paragrafen unterteilt sind.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";00000000000ppccaa--;;162;Buch der Könige;"Der ""Deutschenspiegel"" ist die zweite Bearbeitung der oberdeutschen Sachsenspiegelübersetzung. Der Verfasser ist im Kreise der Augsburger Minoriten zu suchen. Er veränderte seine Vorlage durch Korrekturen, Streichungen und Zusätze, in denen er das Augsburger Gewohnheitsrecht und Augsburger Ratsverordnungen verwertete. Er verwendete den Mainzer Landfrieden (vermutlich ein bayrischer Landfriede von 1256) und zwei Reichsgesetze vom 19. Februar 1274, nicht mehr die Beschlüsse des Augsburger Reichstages vom 15. Mai 1275. Folglich muss die Arbeit zwischen Februar 1274 und Mai 1275 entstanden sein (siehe ""Einleitung, S. VI-VII).";"Der ""Deutschenspiegel"" ist als Ganzes, wenn auch nicht lückenlos, in der Innsbrucker Hs. J (Homeyer, Nr. 557) üuberliefert.";;;BDK;;;;;;;;;;;;;;;;;
Berthold von Regensburg;626;"Berthold von Regensburg. Deutsche Predigten (Überlieferungsgruppe *Z) Hrsg. von Dieter Richter. München, W. Fink, 1968. (= Kleine deutsche Prosadenkmäler des Mittelalters 5)

Die digitale Ausgabe beruht teilweise auf der Version des ""Digital Middle High German Text Archive"" University of Virginia / Kompetenzzentrum für elektronische Erschließungs- und Publikationsverfahren in den Geisteswissenschaften an der Universität Trier. URL: http://etext.lib.virginia.edu/german/mhg/";"Die Texte befinden sich auf S. 49 - 72 der Ausgabe. Die Predigten sind von 1 -8 durchnummeriert mit fortlaufender Zeilenzählung für jede einzelne Predigt.

Lemmatisiert, nicht disambiguiert.



Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000cpp---k;;163;Überlieferungsgruppe *Z;"Die Predigten der *Z-Gruppe sind in E und M2, W anonym überliefert. die 'Baumgarten'-Handschriften nennen sie (Z 3-8) ""brvoder bertholdes bredige"" (F). Auch der Schreiber der Hs. E (oder ein Vorgänger) hat sie als Berthold-Predigten vertsanden, denn er ändert an zwei Stellen das 'brvder' der Vorlage in 'brvder perhtolt'. Der Hinweis der Handschriften wird bestätigt durch den Vergleich mit den lateinischen Sermones Bertholds.";Die Masse der deutschen Berthold-Predigten gliedert sich in einzelne Überlieferungsgruppen und Sammlungen, die nach handschriftlicher Bezeugung und landschaftlicher Verbreitung, nach Stil, Form und Leserkreis zu differenzieren und verschiedenen Verfassern zuzuweisen sind.  eine dieser überlieferungsgeschichtlichen Einheiten ist die *Z-Gruppe. Z 2-8 wurden erstmals von Joseph Strobl 1880 veröffentlicht, Z 1 erscheint in dieser Ausgabe zum ersten Mal.;;;BRZ;1968;1;;;;;;;;;;;;;;;
Deutsche Predigten Meister Eckharts: eine Auswahl;445;"Deutsche Predigten Meister Eckharts: eine Auswahl. Auf der Grundlage der kritischen Werkausgabe und der Reihe ""Lectura Eckhardi"" hg., übersetzt und kommentiert von Uta Störmer-Caysa. Stuttgart: Reclam 2001.";"Die Seiten wurden nach der kritischen Edition von Josef Quint ausgerichtet; Worttrennungen wurden aufgehoben (der 2. Wortteil wurde in die voraufgehende Zeile übernommen).

Nummernkodierung: Predigtnummer (3-st), Seitenzahl (3-st), Zeilenzahl (2-st); die Predigtüberschriften wurden markiert.

Frau Prof. Störmer-Caysa hat die folgenden Predigten aufgenommen:

Q2, Q5b, Q6, Q9, Q12, Q20a, Q38, Q44, Q52, Q60, Q70 und Q78.

Wir danken Frau Prof. Störmer-Caysa für die Bereitstellung der elektronischen Speicherung des Textes!

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000aaappp--h;;163;;;;;;ECK;2001;1;;;;;;;;;;;;;;;
Die drei Wünsche;4;Novellistik des Mittelalters. Märendichtung. Hrsg, übers. und kommentiert von Klaus Grubmüller. Frankfurt/Main: Dt. Klassiker Verl., 1996. S. 56-69. (= Bibl. d. Mittelalters, Bd. 23);"Noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000---h;;3;;;;NDM;Novellistik des Mittelalters. Märendichtung;SDW;;;;;;;;;;;;;;;;;
Der arme und der reiche König;4;Novellistik des Mittelalters. Märendichtung. Hrsg, übers. und kommentiert von Klaus Grubmüller. Frankfurt/Main: Dt. Klassiker Verl., 1996. S. 70-80. (= Bibl. d. Mittelalters, Bd. 23);"Lemmatisiert, aber noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000---h;;3;;;;NDM;Novellistik des Mittelalters. Märendichtung;ARK;;;;;;;;;;;;;;;;;
Die getreue Gattin;465;Novellistik des Mittelalters. Märendichtung. Hrsg, übers. und kommentiert von Klaus Grubmüller. Frankfurt/Main: Dt. Klassiker Verl., 1996. S. 96-110. (= Bibl. d. Mittelalters, Bd. 23).;"Noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000---h;;244;;Späte Überlieferung im Ambraser Heldenbuch (Im Auftr. von Maximilian I durch Hans Ried, Bozen 1504-1506). Österr. Nationalbibl., Cod. Series nova 2663, Bl. 217r-217v.;Der Text folgt der Ausgabe von Hanns Fischer: Herrand von Wildonie. Vier Erzählungen. 2. revid. Aufl. besorgt durch Paul Sappler, Tübingen 1969.;;;DTG;;;;;;;;;;;;;;;;;
Seifrits Alexander;1687;"Seifrits Alexander aus der Straßburger Handschrift, hrsg. v. Paul Gereke, 

Berlin 1932.

Digitale Version basiert auf der Fassung von Ralf Schlechtweg-Jahn, 

Bayreuth 2000; TITUS Version von Ralf Schlechtweg-Jahn and Jost Gippert, 

Bayreuth, 14.07.2000 / Frankfurt, 14.4.2002 / 2.3.2003.

http://titus.uni-frankfurt.de/texte/etcs/germ/mhd/a_seifr/a_sei.htm";"Der Text besteht aus 9084 Verszeilen beginnend mit Vers 1. Dazu gibt es 139 

Überschriften, die nicht in die Zählung einbezogen sind. Nach Vers 2947 erfolgt eine Zeile Einschub.

Die folgenden Auflösungen wurden vorgenommen: e mit übergeschriebener Tilde > ä/a/e/ae/â/ê; Ligatur oe > oe.

Nur teilweise lemmatisiert, noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000----hi;;10;;Die Papierhandschrift wird auf ca 1460 datiert und stammt aus dem süddeutschen/bairischen Raum.;"Cod. Pal.germ 347. Heidelberger Universitätsbibliothek.

On-line Hs.-Faximile:

http://digi.ub.uni-heidelberg.de/cpg347

Cologny, Fondation Martin Bodmer, Cod. Bodmer 151;1402(f. 1r-187r);

http://www.e-codices.unifr.ch/de/cb/0151/1r";;;SAX;1932;1;;;;;;;;;;;;;;;
Barlaam und Josaphat;11;"Rudolf von Ems: Barlaam und Josaphat. Hrsg. v. Franz Pfeiffer.

In der Reihe ""Texte des Mittelalters"" hrsg. v. Karl Stackmann,

Berlin 1965.";"Noch nicht lemmatisiert und disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";00000000000000-----;;4;;"Beruht auf einem Roman des 6. Jhs. Stellt als christliche Heiligenlegende die Geschichte Buddhas dar. Die urspr. griechische Fassung war im Mittelalter zunächst in lateinischen Übersetzungen, später in französischen Bearbeitungen verbreitet. Eine deutsche Bearbeitung gab es bereits um 1200 von einem Bischof Otto II von Freising. Eine zweite deutsche Bearbeitung von einem unbekannten Verfasser ist nur in Bruchstücken bekannt geworden; eine dritte stammt von einem Bischof Otto ebenfalls aus dem 13. Jahrhundert. Rudolf von Ems  erstellte seine mhd. Versversion zwischen 1220 und 1250.";;;;BAR;1965;1;;;;;;;;;;;;;;;
Der Wernigeroder Alexander;;Der Grosse Alexander aus der Wernigeroder Handschrift. Hrsg. v. Gustav Guth, Berlin: Weidmannsche Buchhandlung,  1908.(DTM XIII);"Der Text besteht aus 6462 regulären Textzeilen, beginnend mit Vers 1. Dazu kommen jeweils 4 Zeilen Prolog und Epilog. Nach Vers 5830 gibt es 2 Zeilen, nach 6376 eine Zeile Einschub.



Lemmatisiert, noch nicht disambiguiert. 

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000----hi;;10;;Alemannisches Original in bayrischer Niederschrift. Vermutlich 1397 beendet. Mehr oder weniger freie Uebersetzung der Alexanderdichtung des Quilichinus.;Die Papier Hs. aus dem 14. Jh. bestehend aus 135 Blättern gehört zu der Fürstlich Stolbergschen Bibliothek in Wernigerode unter der Sig. ZB 24o. Sie enthält zwei verschiedene Arten von Papier. Holzdeckel mit abgewetztem roten Leder überzogen.;;;AXW;;;;;;;;;;;;;;;;;
Steirische Reimchronik;104;Seemüller, Josef: Monumenta Germaniae Historica. Deutsche Chroniken. 5,1 u. 5,2. Ottokars Österreichische Reimchronik. Nach den Abschriften Franz Lichtensteins. Unveränderter Nachdruck der 1890-1893 bei der Hahnschen Buchhandlung, Hannover, erschienenen Ausgabe.  München: Monumenta Germaniae Historica, 1980.;"Nur teilweise lemmatisiert und nicht disambiguiert.

Das Werk besteht aus 98 652 Verszeilen beginnend mit Vers 1. 

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000-----ii;1696;41;;Zwischen 1301 und 1319 entstand die Österreichische (od. Steirische) Reimchronik. Es gibt davon acht aus dem späten 14. und 15. Jh. stammende Handschriften. Nur sechs behinhalten auch das Buch von Akkon, das deshalb auch als separater Text (AK) in der MHDBDB weiter geführt wird. Da OVG auch AK enthält, sollte nicht mit beiden Texten gleichzeitig gearbeitet werden.;Von den Handschriften sind drei Fragmente, drei vollständige Ausgaben: Cod. Vindob. 15359 (Fragment), Cod Ser. nov. 4002 (Fragment), Cod. Vindob. 3047, Cod. Admont. 19 (Fragment), Cod. Geulf. 291 (Fragment), Cod. Sangall. 658, Cod. rec. adj. f. 3. Die beiden Erstgenannten gehörten ursprünglich zur gleichen Gesamtausgabe.;;;OVG;;;;;;;;;;;;;;;;;
Das Schneekind (Hs.A);;Novellistik des Mittelalters. Märendichtung. Hrsg, übers. und kommentiert von Klaus Grubmüller. Frankfurt/Main: Dt. Klassiker Verl., 1996. S. 82-93. (= Bibl. d. Mittelalters, Bd. 23);Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.;000000000000000---h;;3;;;;NDM;Novellistik des Mittelalters. Märendichtung;SKA;;;;;;;;;;;;;;;;;
Das Buch der Natur (Buch 1);607;"Konrad, von Megenberg. Das Buch der Natur: die erste Naturgeschichte in deutscher Sprache; hrsg. von Franz Pfeiffer. Stuttgart 1861 (Nachdruck 1962, Faks. G. Olms, Hildesheim-New York 1971, 1994). 

Die digitale Edition beruht teilweise auf der Version von Koyka Stoyanova, 

Berlin, 1997 und der TITUS-Version von Jost Gippert, Frankfurt a/M, 1998-2003. 

http://titus.uni-frankfurt.de/texte/etcs/germ/mhd/konrme/konrm.htm?konrm001.htm";"Der vorliegende Text ist das erste von acht Büchern, das von der Physiologie des Menschen handelt. Er besteht aus insgesamt 50 Kapiteln und einem vorangestellten Gedicht auf insgesamt 53 Seiten beginnend mit Seite 1. Das 49. Kapitel ist in 32 Unterabschnitte eingeteilt. 



Lemmatisiert, aber noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000ppccaads--;;122;;"Seine deutschen Werke widmen sich naturwissenschaftlichen Themen und sind von ihm ausdrücklich für Laien geschrieben worden. In den Jahren 1348 bis 1350 schrieb er das ""Buch der Natur"" (oder: ""Buch von den natürlichen Dingen""), das allgemein als das erste systematisierte deutschsprachige Kompendium des Wissens über die geschaffene Natur angesehen wird. Er bediente sich dabei vor allem des ""Liber de natura rerum""(1230-1245) von Thomas von Cantimpré(1201-1270/72) als Quelle. Es erlangte große Bedeutung und Verbreitung und wurde noch in den Jahren 1536 und 1540 in Frankfurt als Naturbuch nachgedruckt.";Heidelberger Hs. Cod. Pal. germ. 300;;;KVM;1861;1;;;;;;;;;;;;;;;
Der Heilige Ulrich;585;"Albert von Augsburg, Das Leben des Heiligen Ulrich. Hrsg. von Karl-Ernst Geith; (= Quellen und Forschungen zur Sprach- und Kulturgeschichte der germanischen Völker 163; Neue Folge 39), Berlin/New York 1971.";"Der Text besteht aus 1605 Verszeilen beginnend mit Vers 1.

Folgende Auflösungen wurden vorgenommen:

·  = ,

u + hochgestelltes o = uo

v + hochgestelltes o = vo

a + hochgestelltes e = ae



Nur teilweise lemmatisiert, nicht disambiguiert.



Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000----;;4;;Die Hs. ist die von Adilbert von Augsburg vorgenommene Übersetzung einer lateinischen Vorlage von Berno von Reichenau. Sie beinhaltet die Vita des Hl. Ulrich (Uodalricus), Bischof von Augsburg, geb. um 890 in Augsburg in Bayern, gestorben am 4. Juli 973 daselbst.;Hs. Cgm 94 der Bayerischen Staatsbibliothek München.;;;HUL;;;;;;;;;;;;;;;;;
Mainauer Naturlehre;;"Die sogenannte Mainauer Naturlehre. Hrsg.v. Helmut R. Plant, Marie Rowlands und Rolf Burkhart, Göppingen: Kümmerle 1972. (= Litterae. Göppinger Beiträge zur Textgeschichte Nr. 18).

Der Text ist eine abgeänderte Version des digitalen Textes von Ulrich Harsch 1999.

http://www.fh-augsburg.de/~harsch/germanica/Chronologie/14Jh/Naturlehre/mai_n000.html";"Der Titel dieser Schrift stammt vom ersten Herausgeber Wilhelm Wackernagel.

Die Seitenzahlen entsprechen den Seiten der Handschrift. Die Handschrift ist zweispaltig, und die Herausgeber haben die vier Spalten mit den Buchstaben a - d bezeichnet. Diesen entsprechen jeweils die Zahlen der Abschnitte 1 - 4 in der MHDBDB Version, und folglich entsprechen die Abschnitte 1/2 den Spalten auf recto und 3/4 denen auf verso.

In der MHDBDB Version wurde die Trennung von Wörtern am Zeilenende, die der Hs. entspricht, aufgehoben, d.h. die so getrennten Wörter wurden entweder am Ende oder am Anfang einer der beiden Zeilen vereinigt. Abkürzungen aus der Hs. wurden vervollständigt.



Der Text ist noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000pppa--;;122;;Die Mainauer Naturlehre stellt den Versuch dar, das naturwissenschaftliche Wissen der Zeit in deutscher Prosa zusammenzufassen. Als Grundlage dienten vor allem der Tractatus de sphera und der Computus des Johannes de Sacrobosco, sowie das anonyme Secretum secretorum. Enstanden ist sie um das Jahr 1300, der Verfasser ist unbekannt und auch der Entstehungsort ist sicher nicht die 1831 von Wilhelm Wackernagel vermutete Insel Mainau im Bodensee.;"Handschrift der Universitätsbibliothek Basel, B VIII 27

Manuscript Y (York Minster Library, Ms. Add. 34).";;;MNA;;;;;;;;;;;;;;;;;
Der arme Heinrich;2;Hartmann von Aue: Der arme Heinrich. Hrsg. v. Hermann Paul, neu bearbeitet von Kurt Gärtner. 16. durchges. Aufl. Tübingen: Niemeyer, 1996. Elektronischer Text basiert zum Teil auf der Version von Ulrich Harsch 1998. Siehe http://www.fh-augsburg.de/~harsch/germanica/Chronologie/12Jh/Hartmann/har_hein.html;"Der Text weist nach den folgenden Zeilen Einschübe auf: Vers 126, 652, 654, 662, 

852, 980, 1280, 1284, 1332.



Noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";00000000000000----i;;1;;;;;;DAH;1996;1;;;;;;;;;;;;;;;
Der begrabene Ehemann;4;Novellistik des Mittelalters. Märendichtung. Hrsg, übers. und kommentiert von Klaus Grubmüller. Frankfurt/Main: Dt. Klassiker Verl., 1996. S. 30-43. (= Bibl. d. Mittelalters, Bd. 23);"Noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000000000---h;;3;;;;NDM;Novellistik des Mittelalters. Märendichtung;SBE;1996;1;;;;;;;;;;;;;;;
Das Schneekind (Hs.B);;Novellistik des Mittelalters. Märendichtung. Hrsg, übers. und kommentiert von Klaus Grubmüller. Frankfurt/Main: Dt. Klassiker Verl., 1996. S. 82-93. (= Bibl. d. Mittelalters, Bd. 23);Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.;000000000000000---h;;3;;;;NDM;Novellistik des Mittelalters. Märendichtung;SKB;;;;;;;;;;;;;;;;;
Kaiserchronik (Anhang 2);;"Kaiserchronik eines Regensburger Geistlichen, hrsg. von Edward Schröder. Nachdruck der Ausgabe von 1892; Hannover: Hahn, 1984. (= Monumenta Germaniae historica inde ab anno Christi quingentesimo usque ad annum millesimum et quingentesimum. Scriptorum qui vernacula lingua usi sunt ; t. 1,1. Series Statement Monvmenta Germaniae historica ... Scriptorvm qui vernacvla lingva vsi sunt ... Deutsche Chroniken und andere Geschichtsbücher des Mittelalters, 1,1)";"Der Text enthält 483 Verszeilen beginnend mit Vers 1.



Lemmatisiert, noch nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000000---;;41;Schwäbische Fortsetzung;;Siehe Hauptteil Kaiserchronik (KCR);;;KC2;;;;;;;;;;;;;;;;;
Herzogenburger Urkunden I;;"Michael FAIGL, Die Urkunden des regulirten Chorherrenstiftes Herzogenburg vom Jahre seiner Übertragung von St. Georgen 1244 bis 1450 (Wien 1886).

Digitale Bearbeitung: Institut zur Erschließung und Erforschung kirchlicher Quellen (IEEKQ), St.Pölten";"Insgesamt 42 nur deutschsprachige Urkunden numeriert von #1 - 41 und geordnet nach Jahr und Tag der Erstellung, beginnend mit 24.2.1292 und endend mit 5.12.1318. Im Erscheinungsbild erfolgt das Datum in der Folge Jahr - Monat - Tag.

Mit dem Digitalisat der Originalurkunden verlinkt. Der Zeilenumbruch entspricht nicht immer dem Zeilenumbruch der Originalurkunden.



Lemmatisiert, aber noch nicht disambiguiert.



Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000zzyyyyxxxx--;;141;1292-1318;Alle Urkunden sind Teil des Herzogenburger Stiftsarchiv und sind mit dem Entstehungsdatum versehen.;;;;HZU;;;;;;;;;;;;;;;;;
Mai und Beaflor;;"Mai und Beaflor. 

Hrsg., übersetzt, kommentiert und mit einer Einleitung von Albrecht Classen 

Frankfurt am Main, Berlin, Bern, Bruxelles, New York, Oxford, Wien: Peter Lang 2006.(= Beihefte zur Mediävistik. Hrsg. Peter Dinzelbacher. Bd. 6)";Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.;00000000000000----i;;1;;"Der Text besteht aus 9676 Verszeilen beginnend mit Vers 1. Die Kursiv gezeigten Passagen sind aus der Hs. B übernommen, ebenso der Einschub nach Vers 479.

Nur teilweise lemmatisiert, noch nicht disambiguiert.";;;;MAI;;;;;;;;;;;;;;;;;
Ein alemannisches Büchlein von guter Speise;;Anton Birlinger (Hg.): Ein alemannisches Büchlein von guter Speise. In: Sitzungsberichte der Königlich bayerischen Akademie der Wissenschaften zu München. Phil.-hist. Klasse. 1865. Band II. München 1865.;"Der Text besteht aus 57 Rezepten beginnend mit Rezept 1. Unter den Rezeptnummern 1, 12, 13, 15 sind mehrere Rezepte eingetragen.



Voll lemmatisiert aber nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";0000000000000cca--h;;161;;;Cgm 384, fol. 103b-115b;;;ABS;;;;;;;;;;;;;;;;;
Priester Konrad;646;"Altdeutsche Predigten. Hrsg. v. Anton E. Schönbach. 3. Bd.: Texte. Graz: Styria, 1891.

Die elektronische Texteingabe beruht teilweise auf der digitalen Version des Oxford Text Archive: http://ota.ahds.ac.uk/";"Der Text besteht aus 114 Predigten, die hier als Kapitel geführt werden. Der Text beginnt auf S. 3 mit einer Überschrift und dem einführenden ""Proemium""; er endet auf S. 267.

Teilweise lemmatisiert, nicht disambiguiert.

Die Groß-/Kleinschreibung entspricht aus technischen Gründen nur teilweise der Edition.";000000000pppcccu--h;;163;Altdeutsche Predigten;Die Handschrift stammt aus dem 14. Jh. Ein Schreiber aus dem 15. Jh. hat die Schreibung einiger Abschnitte seiner Zeit angepasst.;Hs. 2684 d. kaiserl Hofbibliothek Wien (Tabulae codicum manuscriptorum 2, 117);;;PKP;1891;1;;;;;;;;;;;;;;;
